用户id,是否遇到网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,注明内容,网络信号差/没有信号,显示有信号上不了网,上网过程中网络时断时续或时快时慢,手机上网速度慢,其他，请注明.1,注明内容.1,看视频卡顿,打游戏延时大,打开网页或APP图片慢,下载速度慢,手机支付较慢,其他，请注明.2,,爱奇艺,优酷,腾讯视频,芒果TV,搜狐视频,抖音,快手,火山,咪咕视频,学习强国,其他，请注明.3,注明内容.2,全部都卡顿,和平精英,王者荣耀,穿越火线,梦幻西游,龙之谷,梦幻诛仙,欢乐斗地主,部落冲突,炉石传说,阴阳师,其他，请注明.4,注明内容.3,全部游戏都卡顿,微信,手机QQ,淘宝,京东,百度,今日头条,新浪微博,拼多多,学习强国.1,其他，请注明.5,注明内容.4,全部网页或APP都慢,脱网次数,上网质差次数,微信质差次数,是否投诉,性别,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否不限量套餐到达用户
11,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,0,0,否,女,4G,否,0.0,是,0.0,0.0,109,0,步步高,V2020A,6.72,109,10.15,121,0.0,1102251,0,否,三星,否
12,1,1,2,-1,4,5,-1,-1,-1,,1,2,3,4,-1,,1,-1,3,-1,-1,-1,,1,2,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,4,5,-1,-1,-1,-1,-1,,-1,6,59,3,否,男,5G,否,0.0,是,0.0,0.0,219,0,华为,EBG-AN00,153.0,219,153.0,215,0.0,33090454,0,是,银卡,是
13,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,10,1,3,否,女,5G,否,0.0,是,0.0,0.0,206,0,苹果,A2639,58.0,206,61.0,214,0.0,76312289,0,是,三星,否
14,1,-1,-1,-1,4,-1,-1,-1,-1,,-1,-1,-1,4,-1,,-1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,4G,否,0.0,是,0.0,0.0,41,0,苹果,A2639,69.0,41,69.0,133,0.0,1227656,0,否,三星,否
15,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,8,0,0,否,男,5G,否,0.0,是,0.0,0.0,2,0,小米科技,M2004J7BC,0.0,2,0.6,1,0.0,4286788,0,是,二星,否
16,1,1,2,-1,-1,5,-1,7,-1,,1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,909,0,苹果,A2644,44.01,909,44.01,1073,0.0,90183493,0,是,二星,否
17,1,1,-1,-1,-1,5,-1,7,-1,,-1,-1,3,4,-1,,1,-1,-1,4,-1,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,5G,否,0.0,是,0.0,0.0,57,0,步步高,V2148A,69.0,57,69.0,56,0.0,6638989,0,是,三星,否
18,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,21,0,华为,ANG-AN00,21.0,21,21.0,78,0.0,33853561,0,是,一星,否
19,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,0,0,否,女,5G,否,0.0,是,0.0,0.0,51,0,步步高,V2020A,18.0,51,58.0,50,0.0,18716585,0,是,三星,否
20,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,,1,-1,-1,4,-1,-1,,1,2,3,-1,-1,-1,-1,-1,-1,10,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,37,0,0,否,男,4G,否,0.0,是,0.0,0.0,284,0,华为,HMA-AL00,44.25,284,56.0,196,0.0,8148101,0,否,三星,否
21,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,0,0,否,女,4G,否,170.79,是,5.0,0.0,60,0,华为,VOG-AL10,43.0,60,38.3,65,8.70824267361764e-06,43177483,376,否,三星,否
22,1,-1,-1,-1,-1,5,-1,-1,-1,,1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,43,0,0,否,女,5G,否,0.0,是,0.0,0.0,6,0,小米科技,M2001J2C,0.0,6,120.0,20,0.0,4869314,0,是,三星,否
23,1,1,2,-1,-1,5,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,38,0,0,否,男,5G,否,0.0,是,0.0,0.0,222,0,苹果,iPhone X A1865,49.1,222,49.0,196,0.00196002354834416,5131571,10058,是,三星,是
24,1,1,2,-1,4,5,-1,7,-1,,-1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,4,0,14,否,男,4G,否,0.0,是,0.0,0.0,804,0,苹果,A2223,141.75,804,148.5,634,0.0,32036840,0,否,银卡,否
25,1,-1,2,-1,-1,-1,-1,-1,-1,,1,-1,-1,4,-1,,-1,-1,-1,-1,-1,98,微信语音市场显示信号不好,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,4G,否,0.0,是,0.0,0.0,73,0,苹果,A2223,21.0,73,21.0,124,0.00536734797347442,47396219,254392,否,二星,否
26,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,8,0,0,否,男,5G,否,0.0,是,0.0,0.0,2281,0,华为,LIO-AN00,116.0,2281,115.4,1432,0.0,30061350,0,是,银卡,是
27,1,-1,-1,-1,-1,-1,6,-1,-1,,1,-1,-1,4,-1,,1,-1,3,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,-1,5,-1,-1,8,-1,-1,,-1,62,0,0,否,男,5G,否,0.0,是,0.0,0.0214362272240086,933,20,步步高,V2190A,109.4,933,115.39,746,0.0271746486007771,16026003,435501,是,银卡,否
28,1,-1,2,-1,-1,-1,-1,-1,-1,,1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,16,0,0,否,男,4G,是,0.0,是,0.0,0.0,99,0,小米科技,M2010J19SC,9.0,99,69.0,26,0.0,20247646,0,否,三星,否
29,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,0,12,否,女,4G,否,0.0,是,0.0,0.0,265,0,华为,JAD-AL00,5.12,265,5.0,257,0.0,26485162,0,否,二星,否
30,1,1,2,-1,4,5,6,-1,-1,,1,2,3,4,-1,,1,2,3,4,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,143,0,小米科技,M2007J22C,69.0,143,69.0,120,0.0001553626678116,13555380,2106,是,三星,否
31,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,58,0,0,否,男,5G,是,0.0,是,0.0,0.0,624,0,苹果,A2408,181.0,624,181.0,927,0.0,30023932,0,是,银卡,否
32,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,31,0,0,否,男,5G,否,0.0,是,0.0,0.0,352,0,苹果,A2408,56.0,352,58.0,333,0.0,14737680,0,是,三星,是
33,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,6,1,0,否,男,4G,否,0.0,是,0.0,0.0,186,0,苹果,iPhone 7Plus A1661,44.0,186,34.0,95,0.0,28334884,0,否,三星,否
34,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,9,0,否,女,4G,是,0.0,是,0.0,0.0,114,0,华为,DUK-AL20,37.28,114,38.13,167,0.0,6014111,0,否,三星,否
35,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,4G,否,8.22,是,2.03,0.0,77,0,华为,AKA-AL10,27.03,77,25.0,97,0.0,18795175,0,否,二星,否
36,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,98,满意好,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,4G,否,0.0,是,0.0,0.0,438,0,华为,RTE-AL00,175.0,438,168.29,676,0.0,23149703,0,否,银卡,否
37,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,1,否,女,5G,否,0.0,是,0.0,0.0,174,0,苹果,A2404,111.0,174,111.0,154,0.0,18816766,0,是,银卡,否
38,1,-1,-1,-1,-1,-1,6,-1,-1,,1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,49,0,步步高,V1986A,47.52,49,56.92,100,0.0,23872288,0,是,三星,否
39,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,4,5,1,是,男,4G,否,0.0,是,0.0,0.0,73,0,苹果,A2104,50.14,73,48.6,48,0.0,50764036,0,否,三星,否
40,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,23,0,10,否,女,4G,否,0.0,是,0.0,0.0,397,0,苹果,A2220,79.0,397,79.06,580,0.0,5184917,0,否,三星,否
41,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,4G,否,0.0,是,0.0,0.0,287,0,步步高,V1813A,21.0,287,21.0,33,0.0,129185753,0,否,一星,否
42,1,1,2,-1,-1,5,-1,-1,-1,,1,-1,-1,4,-1,,1,2,-1,-1,-1,-1,,1,2,3,4,5,6,-1,-1,-1,-1,-1,,-1,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,7,0,1,否,男,5G,否,0.0,是,0.0,0.0,523,0,华为,LIO-AN00,88.0,523,90.1,371,0.0,39553453,0,是,三星,是
43,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,4G,否,0.0,是,0.0,0.0,109,0,华为,VKY-AL00,108.0,109,108.0,49,0.0,2005662,0,否,三星,否
44,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,0,9,否,女,4G,否,0.0,是,0.0,0.0,333,0,苹果,iPhone 6S Plus A1687,10.0,333,10.0,185,0.0,8948519,0,否,三星,否
45,1,-1,-1,-1,4,-1,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,4G,否,0.0,是,0.0,0.0,212,0,苹果,A2223,106.0,212,106.2,337,0.0,53386005,0,否,银卡,否
46,1,1,-1,-1,-1,5,-1,-1,98,电梯,1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,5G,否,0.0,是,0.0,0.0,182,0,华为,NOH-AN01,27.04,182,21.56,119,0.0,5769099,0,是,三星,否
47,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,9,0,0,否,男,4G,否,0.0,是,0.0,0.0,48,0,华为,PCT-AL10,28.92,48,28.8,40,0.0,11405086,0,否,三星,否
48,1,1,-1,-1,-1,-1,-1,7,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,5,0,0,否,男,4G,否,42.93,是,10.0,0.0,154,0,华为,TNY-AL00,30.0,154,30.0,22,0.0,1426432,0,否,三星,否
49,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,,-1,-1,-1,-1,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,28,0,0,否,男,5G,否,0.0,是,0.0,0.0,218,0,华为,NOH-AN00,118.5,218,108.7,145,2.35944805179744e-05,17461711,412,是,银卡,否
50,1,1,2,-1,-1,5,-1,-1,-1,,1,-1,-1,4,-1,,-1,-1,3,-1,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,16,0,0,否,女,5G,否,0.0,是,0.0,0.0,116,0,苹果,A2412,49.0,116,48.76,91,0.0,14083923,0,是,三星,否
51,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,12,3,4,否,女,5G,否,0.0,是,0.0,0.0,331,0,三星,SM-N9760,205.0,331,205.0,724,0.0,59825975,0,是,银卡,是
52,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,9,0,0,否,男,5G,否,0.0,是,0.0,0.0,217,0,华为,ELS-AN00,60.1,217,60.2,243,0.0,30762319,0,是,三星,是
