用户,手机上网整体满意度,网络覆盖与信号强度,手机上网速度,手机上网稳定性,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,场景备注数据,网络信号差/没有信号,显示有信号上不了网,上网过程中网络时断时续或时快时慢,手机上网速度慢,其他，请注明.1,现象备注数据,看视频卡顿,打游戏延时大,打开网页或APP图片慢,下载速度慢,手机支付较慢,其他，请注明.2,APP大类备注,爱奇艺,优酷,腾讯视频,芒果TV,搜狐视频,抖音,快手,火山,咪咕视频,其他，请注明.3,APP小类视频备注,全部都卡顿,和平精英,王者荣耀,穿越火线,梦幻西游,龙之谷,梦幻诛仙,欢乐斗地主,部落冲突,炉石传说,阴阳师,其他，请注明.4,APP小类游戏备注,全部游戏都卡顿,微信,手机QQ,淘宝,京东,百度,今日头条,新浪微博,拼多多,其他，请注明.5,APP小类上网备注,全部网页或APP都慢,上网质差次数,脱网次数,重定向次数,2G驻留时长,微信质差次数,王者荣耀质差次数,高单价超套客户（集团）,高频高额超套客户（集团）,套外流量（MB）,套外流量费（元）,是否全月漫游用户,是否不限量套餐到达用户,年龄,性别,王者荣耀使用次数,游戏类APP使用天数,游戏类APP使用次数,王者荣耀使用天数,游戏类APP使用流量,抖音使用流量（MB）,今日头条使用流量,快手使用流量,优酷视频使用流量,腾讯视频使用流量,小视频系APP流量,阿里系APP流量,网易系APP流量,腾讯系APP流量,王者荣耀APP使用流量,蜻蜓FMAPP使用流量,饿了么使用流量,美团外卖使用流量,天猫使用流量,大众点评使用流量,滴滴出行使用流量,通信类应用流量,游戏类应用流量,网页类应用流量,音乐类应用流量,视频类应用流量,邮箱类应用流量,终端类型,操作系统,终端制式,终端品牌,终端品牌类型,是否5G网络客户,当月GPRS资源使用量（GB）,是否校园套餐用户,校园卡无校园合约用户,校园卡校园合约捆绑用户,当月高频通信分公司,畅享套餐档位,畅享套餐名称,主套餐档位,当月MOU,近3个月平均消费（剔除通信账户支付）,近3个月平均消费（元）,本年累计消费（元）,码号资源-激活时间,码号资源-发卡时间,客户星级标识
用户11,2,1,4,4,1,2,-1,-1,5,-1,-1,-1,,1,2,3,4,-1,,-1,2,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,英雄联盟手游,-1,1,-1,3,4,5,-1,7,-1,-1,,-1,42.0,,2027.0,5754359.0,,,否,否,0.0,0.0,否,否,33,男,12.0,8.0,387.0,5.0,25699.0,0.0,411.0,0.0,85.0,10117073.0,0,756,0,12064,1,0,1,0,86,1,89,875,25,1553,2089,13073,0,手机,,5G终端,苹果,A2644,是,88.3838,否,否,否,城区三分公司,0,0,158,4,114.0,114.0,453.0,,,银卡
用户12,3,7,1,1,1,2,-1,4,5,-1,-1,-1,,-1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,152.0,1154100.0,,,否,否,0.0,0.0,否,否,27,男,0.0,1.0,2.0,0.0,0.0,1136.81,46439.0,28258.0,8134.0,19714.0,1164,423,0,113,0,0,2,0,245,6,9,592,0,424,1049,1450,0,手机,,5G终端,摩托罗拉,XT2175-2,是,77.5424,是,否,是,城区二分公司,0,0,49,69,21.0,21.0,84.0,2021-08-09,2021-08-05,准星
用户13,7,6,7,7,1,2,-1,4,-1,-1,-1,-1,,-1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,6.0,158.0,1413440.0,18.0,19.0,是,否,195.07,35.0,否,否,22,男,893.0,7.0,1471.0,22.0,391655.0,14345.59,120006.0,10.0,148.0,377693.0,14346,528,1385,781,379,0,1,0,422,9,71,1318,382,343,1387,16740,2,手机,iOS 12.0,4G终端,苹果,A2223,否,26.2524,否,否,否,房山分公司,0,0,19,49,59.0,59.0,259.8,2021-10-14,2021-09-22,二星
用户14,9,8,9,8,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,64,性别不详,0.0,3.0,545.0,0.0,113.0,0.21,328307.0,114473.0,699.0,118277.0,112,85,0,243,0,0,0,0,77,0,0,281,0,391,13,1834,0,手机,iOS 12.0,4G终端,苹果,iPhone XR (A1984),否,7.8719,否,否,否,城区一分公司,69,畅享套餐69档-语音9新流量60,69,232,58.0,58.0,232.0,2020-07-26,2020-07-26,二星
用户15,6,5,5,5,-1,-1,-1,-1,-1,6,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1.0,14.0,14.0,0.0,1.0,,否,否,0.0,0.0,否,否,59,男,0.0,1.0,2.0,0.0,0.0,0.0,71913.0,41.0,157.0,14683024.0,0,0,0,14672,0,0,0,0,0,0,0,645,0,768,311,14650,0,手机,,5G终端,步步高,V2073A,是,69.973,是,否,是,大兴分公司,0,0,49,31,25.0,25.0,100.0,2021-03-28,2021-03-25,一星
用户16,6,7,5,4,-1,2,-1,-1,5,-1,-1,-1,,-1,2,3,4,-1,,1,-1,3,-1,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,-1,7,-1,-1,,-1,4.0,,20.0,50819.0,,,否,否,0.0,0.0,否,否,24,男,1.0,1.0,2.0,1.0,3.0,855.52,15371.0,4120.0,16.0,18743.0,860,362,4,167,0,0,7,0,256,2,5,530,0,500,155,1437,0,手机,Android 9,4G终端,华为,PCT-AL10,否,11.9025,否,否,否,城区二分公司,0,0,19,75,62.57,62.57,265.5,,,未评级
用户17,9,8,7,9,1,-1,-1,-1,-1,6,-1,-1,,1,-1,3,4,-1,,1,-1,-1,4,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,不太在意,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,65,男,0.0,0.0,0.0,0.0,0.0,0.0,795.0,0.0,6.0,2150.0,0,0,0,2,0,0,0,0,0,0,3,16,0,9,0,3,0,手机,Android 8.0.0,4G终端,华为,HWI-AL00,否,0.3605,否,否,否,密云分公司,9,畅享套餐9档-语音9流量0,9,105,32.09,32.09,140.17,2020-04-18,2020-04-15,一星
用户18,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1.0,,,,,,否,否,74.26,1.0,否,否,58,男,0.0,0.0,0.0,0.0,0.0,56.32,19198.0,0.0,30275.0,0.0,56,30,0,0,0,0,0,0,20,0,0,3,0,48,0,86,0,手机,Android 10,5G终端,步步高,V1986A,是,2.01,否,否,否,城区二分公司,0,0,19,28,19.33,19.33,77.0,2020-04-27,2020-04-27,一星
用户19,2,2,1,2,-1,-1,-1,4,-1,-1,-1,98,北京顺义新顺南大街四号,-1,-1,-1,4,98,速度太慢,-1,-1,-1,-1,-1,98,干什么都慢,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,16.0,36.0,36939.0,5.0,,否,否,0.0,0.0,否,否,39,性别不详,0.0,0.0,0.0,0.0,0.0,60.5,43347.0,112855.0,22.0,634870.0,171,308,0,809,0,0,0,0,57,3,1,818,0,315,53,846,0,手机,,5G终端,小米科技,M2007J17C,是,14.886,否,否,否,顺义分公司,129,畅享套餐129档-语音29新流量100,129,2839,49.0,49.0,196.1,2021-10-28,2021-10-28,一星
用户20,7,7,8,8,-1,-1,-1,-1,-1,-1,-1,98,厕所,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,1.0,,否,否,0.0,0.0,否,否,30,性别不详,0.0,3.0,16.0,0.0,2.0,727.61,10109.0,0.0,489.0,15757.0,728,229,229,21,0,4,1,0,188,0,0,198,0,53,253,901,0,手机,Android10,5G终端,华为,ELS-AN00,是,10.7029,是,否,是,城区三分公司,0,0,49,261,21.0,21.0,84.0,2021-03-26,2021-03-26,一星
用户21,9,10,8,8,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,6.0,64.0,286291.0,,,否,否,0.0,0.0,否,否,57,男,0.0,4.0,18.0,0.0,25.0,1638.16,103555.0,1436639.0,0.0,5297.0,3041,32,0,1440,0,0,0,0,12,0,0,275,0,290,1762,4263,0,手机,,4G终端,小米科技,HMNote8M1906G7E,否,24.4437,否,否,否,平谷分公司,99,畅享套餐99档-语音19新流量80,99,351,77.38,77.38,304.55,2021-11-30,2021-11-30,未评级
用户22,8,8,8,5,-1,-1,-1,-1,5,-1,-1,-1,,1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,9.0,117.0,685008.0,,,否,否,0.0,0.0,否,否,29,女,0.0,2.0,1185.0,0.0,67890.0,150.27,1371.0,231.0,1197569.0,2888.0,150,446,9,6,0,0,1,0,211,8,0,100,66,346,421,2078,0,手机,,5G终端,小米科技,2106118C,是,45.1365,否,否,否,城区二分公司,89,畅享套餐89档-语音9新流量80,89,164,351.14,351.14,1463.83,,2021-10-10,金卡
用户23,8,8,7,7,-1,-1,-1,-1,5,6,-1,-1,,1,-1,3,4,-1,,1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,-1,-1,-1,-1,-1,-1,,-1,,,,,2.0,,否,否,0.0,0.0,否,否,29,女,0.0,21.0,909.0,0.0,76383.0,17026.84,141342.0,2556.0,20143.0,126063.0,17029,1137,220,249,0,0,0,0,725,15,25,610,75,665,279,17641,0,手机,Android 9,4G终端,华为,SEA-AL10,否,31.9511,否,否,否,城区一分公司,69,畅享套餐69档-语音19流量50,69,88,70.77,70.77,276.3,2020-03-28,2020-03-28,二星
用户24,9,9,9,8,1,-1,-1,4,5,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,68,女,0.0,0.0,0.0,0.0,0.0,421.48,118307.0,456304.0,105.0,883753.0,867,1911,0,1329,0,0,0,0,1271,2,2,760,0,351,302,7229,0,手机,,5G终端,苹果,A2644,是,34.2171,否,否,否,城区二分公司,129,畅享套餐129档-语音29新流量100,129,182,85.27,85.27,341.0,2021-11-29,2021-11-29,未评级
用户25,8,7,8,9,1,-1,-1,-1,-1,-1,-1,98,开放式的地下一层,-1,2,3,4,-1,,-1,-1,3,4,-1,98,网页和App根本打不开。,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,4,-1,-1,-1,8,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,58,男,0.0,0.0,0.0,0.0,0.0,33.16,2469.0,0.0,0.0,2148.0,33,425,0,2,0,0,0,0,314,2,3,31,0,10,0,135,0,手机,,5G终端,苹果,A2639,是,3.3628,否,否,否,城区一分公司,69,畅享套餐69档-语音9新流量60,69,237,49.0,49.0,196.0,,2021-10-19,一星
用户26,10,10,10,10,-1,-1,-1,4,5,-1,-1,-1,,1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,35,男,0.0,4.0,283.0,0.0,10333.0,7192.99,310235.0,130661.0,104858.0,43131.0,7321,419,486,178,0,0,0,0,349,1,27,497,10,842,1561,7571,1,手机,iOS 14.0,5G终端,苹果,A2404,否,42.3672,是,否,是,顺义分公司,0,0,49,89,21.0,21.0,144.0,2021-09-08,2021-08-28,一星
用户27,3,3,3,3,1,2,3,-1,-1,6,-1,-1,,1,-1,3,4,-1,,1,-1,3,4,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,,54.0,699.0,59328.0,1.0,,否,否,0.0,0.0,否,否,47,男,0.0,0.0,0.0,0.0,0.0,24567.73,217139.0,3977.0,2.0,152306.0,24572,394,0,507,0,0,0,0,83,1,35,865,0,328,299,24941,0,手机,Android 7.0,4G终端,三星,SM-G9550,否,40.884,否,否,否,城区三分公司,129,畅享套餐129档-语音29新流量100,129,25,69.0,69.0,276.0,2021-12-07,2021-12-03,未评级
用户28,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,98,单位,1,2,3,4,-1,,1,2,3,4,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,4.0,,,,1.0,,否,否,0.0,0.0,否,否,45,男,0.0,6.0,713.0,0.0,5494.0,0.0,5924.0,18672.0,29.0,2575.0,18,32,0,23,0,0,0,0,22,0,0,13,5,17,0,21,0,手机,,5G终端,华为,LSA-AN00,是,49.9677,是,否,是,城区三分公司,0,0,49,44,21.0,21.0,84.0,2021-10-12,2021-10-09,准星
用户29,5,3,5,3,1,2,-1,-1,5,-1,7,-1,,1,-1,-1,4,-1,,-1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,-1,-1,-1,-1,-1,-1,,-1,,,512.0,4655330.0,,,否,否,0.0,0.0,否,否,34,女,0.0,14.0,376.0,0.0,15903.0,9697.88,74739.0,30.0,298495.0,3181.0,9698,734,0,4,0,0,0,0,543,2,2,111,16,122,0,10773,0,手机,iOS 14.1,5G终端,苹果,A2412,是,24.2707,否,否,否,城区二分公司,0,0,128,72,98.33,98.33,390.0,2010-09-08,2010-07-22,银卡
用户30,1,1,4,1,-1,2,-1,-1,5,-1,7,98,随时随地可能信号中断,1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,36,女,,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,手机,Android 7.0,4G终端,华为,LON-AL00,否,0.0,否,否,否,不详,9,畅享套餐9档-语音9流量0,9,8,9.43,9.43,37.3,2019-03-19,2019-03-05,一星
用户31,3,3,3,5,1,2,3,4,5,6,7,98,大型集会,1,2,3,4,-1,,1,2,3,4,5,-1,,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,4,5,6,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,是,否,40,男,,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,手机,Android 10,5G终端,小米科技,M2001J1C,是,0.0003,否,否,否,不详,0,0,11,84,11.07,11.07,44.32,,,三星
用户32,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,25.0,294.0,,,否,否,0.0,0.0,否,否,39,男,0.0,3.0,132.0,0.0,50711.0,0.0,6702.0,13238.0,463.0,55799.0,13,1040,0,70,0,0,0,0,878,0,3198,353,50,130,4,85,0,手机,Android 8.1.0,4G终端,欧珀,PBCM10,否,5.7594,否,否,否,大兴分公司,28,畅享套餐28档-语音28流量0,28,220,45.0,45.0,180.0,,,三星
