用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,用户描述,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,用户描述.1,脱网次数,mos质差次数,未接通掉话次数,重定向次数,重定向驻留时长,家宽投诉,资费投诉,4\5G用户,语音方式,是否关怀用户,是否去过营业厅,ARPU（家庭宽带）,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,是否实名登记用户,客户星级标识,当月欠费金额,前第3个月欠费金额
11,4,4,4,4,1,1,-1,-1,-1,-1,6,7,-1,,1,2,3,4,-1,6,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,308,308,苹果,A2404,78.0,308,0.0,534,1.0,9083517,9083517,是,否,三星,0.0,0.0
12,10,10,10,10,1,1,-1,-1,-1,-1,6,-1,-1,,-1,2,-1,4,-1,-1,-1,,0,2,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,1.0,182,182,华为,LON-AL00,43.94,182,0.0,192,1.0,17584927,17584927,否,否,二星,0.0,0.0
13,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,43.95,是,10.0,1.0,174,174,步步高,V1901A,18.0,174,0.0,168,1.0,128939,128939,否,否,三星,0.0,0.0
14,8,6,8,7,1,-1,-1,-1,-1,-1,-1,7,-1,,-1,-1,-1,-1,-1,6,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,137.65,是,14.93,1.0,185,185,华为,JEF-AN20,81.93,185,0.0,275,1.0,21134232,21134232,是,否,三星,0.0,0.0
15,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,131,131,华为,MED-AL20,100.0,131,0.0,88,1.0,2877605,2877605,否,否,三星,0.0,0.0
16,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,460,460,小米科技,M2001G7AE,31.0,460,0.0,304,1.0,187362,187362,否,否,三星,0.0,0.0
17,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,147,147,华为,DUA-AL00,20.45,147,0.0,120,1.0,84512,84512,否,是,二星,0.0,0.0
18,9,9,9,6,1,1,2,3,4,5,6,7,-1,,1,2,-1,4,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,209,209,realme,RMX3366,21.0,209,0.0,272,1.0,22229413,22229413,否,是,一星,0.0,0.0
19,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,216,216,苹果,A2104,45.0,216,0.0,143,1.0,4090068,4090068,是,否,二星,0.0,0.0
20,10,10,10,9,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,1.0,1032,1032,华为,NTH-AN00,130.0,1032,0.0,766,1.0,8489371,8489371,是,是,银卡,0.0,0.0
21,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,224,4,0,623.0,14329.0,0,0,4G,VOLTE,,是,0.0,13.83,是,10.0,1.0,102,102,欧珀,PDVM00,41.11,102,0.0,386,1.0,456367,456367,否,是,二星,0.0,0.0
22,10,9,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,122,122,华为,SPN-AL00,56.98,122,0.0,250,1.0,33512536,33512536,否,否,二星,0.0,0.0
23,10,9,10,8,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,218,218,华为,LIO-AN00,31.7,218,0.0,2679,1.0,100557,100557,否,是,二星,0.0,0.0
24,2,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,,1,2,-1,4,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,279,279,苹果,iPhone 8 Plus A1864,62.0,279,0.0,590,1.0,6256219,6256219,否,否,二星,0.0,0.0
25,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,295,295,步步高,V2034A,66.0,295,0.0,330,1.0,45645300,45645300,否,否,三星,0.0,0.0
26,1,1,1,1,1,-1,2,-1,-1,5,-1,7,-1,,1,2,-1,4,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,2093,2093,苹果,iPhone 6S PLUS A1699,211.0,2093,0.0,1669,1.0,29985114,29985114,否,否,银卡,94.47,0.0
27,7,5,7,5,1,-1,-1,-1,-1,5,6,7,-1,,1,-1,3,-1,-1,6,-1,,0,0,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,1.0,438,438,华为,LIO-AN00m,131.6,438,0.0,1261,1.0,15982740,15982740,是,否,银卡,0.0,0.0
28,8,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,4,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,1.0,89,89,苹果,iPhone 7Plus A1661,39.0,89,0.0,182,1.0,2198671,2198671,否,否,银卡,0.0,0.0
29,9,8,8,9,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,1.0,106,106,小米科技,M2104K10AC,10.28,106,0.0,105,1.0,8359319,8359319,否,否,三星,0.0,0.0
30,10,6,8,7,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,26,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,157,157,小米科技,M2010J19SC,41.56,157,0.0,203,1.0,18596631,18596631,否,否,三星,0.0,0.0
31,10,7,8,7,1,-1,2,3,-1,-1,-1,-1,-1,,1,2,3,4,-1,6,-1,,0,0,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,15.0,1.0,469,469,苹果,A2639,44.1,469,0.0,625,1.0,14043534,14043534,是,否,三星,0.0,0.0
32,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,136,136,华为,CDY-AN90,8.0,136,0.0,229,1.0,62756,62756,否,是,三星,0.0,0.0
33,10,10,10,10,1,1,-1,-1,-1,5,6,-1,-1,,1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,96,96,苹果,A2223,100.0,96,0.0,120,1.0,3182458,3182458,否,是,银卡,0.0,0.0
34,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,66,66,步步高,V1829A,18.19,66,0.0,68,1.0,21028,21028,否,否,三星,0.0,0.0
35,10,9,10,9,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,172,172,步步高,V2023A,35.28,172,0.0,132,1.0,9782615,9782615,否,否,三星,0.0,0.0
36,10,9,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,111,111,欧珀,PEGM10,95.08,111,0.0,163,1.0,11563171,11563171,是,是,二星,0.0,0.0
37,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,476,476,华为,LYA-AL00P,105.0,476,0.0,885,1.0,46851567,46851567,否,否,三星,0.0,0.0
38,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,254,254,苹果,iPhone 8 A1863,114.0,254,0.0,194,1.0,16862062,16862062,否,否,银卡,0.0,0.0
39,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,152.91,是,40.0,1.0,196,196,欧珀,PBAM00,59.48,196,0.0,96,1.0,1010474,1010474,否,否,三星,0.0,0.0
40,10,10,10,10,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,75.93,是,15.8,1.0,219,219,苹果,iPhone 7Plus A1661,64.36,219,0.0,389,1.0,3959657,3959657,否,否,银卡,0.0,0.0
41,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,317,317,步步高,V2047A,145.0,317,0.0,356,1.0,9606789,9606789,是,否,银卡,0.0,0.0
42,10,10,10,10,1,-1,2,-1,-1,-1,6,7,-1,,1,-1,3,4,-1,6,-1,,0,6,1,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,49,49,苹果,A2404,21.0,49,0.0,369,1.0,17147016,17147016,是,是,一星,0.0,0.0
43,8,9,8,8,1,-1,-1,-1,-1,-1,6,-1,-1,,-1,-1,3,4,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,1.0,1181,1181,苹果,A2639,161.0,1181,0.0,1250,1.0,18282992,18282992,是,否,银卡,76.59,120.16
44,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,104.42,是,14.64,1.0,39,39,华为,STK-AL00,24.64,39,0.0,78,1.0,121537,121537,否,否,三星,0.0,0.0
45,8,8,8,8,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,344.59,是,60.0,1.0,64,64,华为,OXF-AN10,73.75,64,0.0,87,1.0,1889442,1889442,是,否,一星,0.0,0.0
46,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,1071.89,是,30.0,1.0,159,159,苹果,iPhone 7Plus A1661,162.0,159,0.0,262,1.0,80135588,80135588,否,否,银卡,0.0,0.0
47,7,8,8,7,1,-1,-1,-1,-1,5,-1,7,-1,,-1,-1,-1,4,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,1.0,1124,1124,华为,EBG-AN00,34.4,1124,0.0,570,1.0,17170595,17170595,是,是,二星,0.0,0.0
48,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,1034,1034,华为,SEA-AL10,118.0,1034,0.0,765,1.0,484432,484432,否,否,银卡,0.0,0.0
49,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,185,185,华为,CDY-AN20,65.0,185,0.0,138,1.0,3833448,3833448,是,否,三星,0.0,0.0
50,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,1.0,305,305,步步高,V2048A,24.0,305,0.0,139,1.0,6441883,6441883,是,否,三星,0.0,0.0
51,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,81,81,苹果,A2411,25.0,81,0.0,71,1.0,900952,900952,否,否,三星,0.0,0.0
52,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,89,89,欧珀,PCDM10,90.0,89,0.0,282,1.0,2252861,2252861,否,否,银卡,0.0,0.0
53,9,8,9,10,1,-1,-1,-1,-1,-1,6,-1,-1,,-1,-1,-1,4,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,310,310,步步高,V1911A,88.19,310,0.0,591,1.0,1956892,1956892,否,否,三星,0.0,0.0
54,4,3,5,7,1,1,2,-1,-1,5,-1,7,-1,,1,-1,3,4,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,260,260,苹果,A2639,21.0,260,0.0,384,1.0,14982188,14982188,否,否,二星,0.0,0.0
55,9,8,9,9,1,1,-1,-1,-1,-1,-1,7,-1,,1,2,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,803,803,苹果,A2104,165.0,803,0.0,603,1.0,10922812,10922812,否,否,银卡,0.0,0.0
56,10,10,10,10,1,-1,-1,-1,-1,-1,6,-1,-1,,-1,2,3,4,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,204,204,苹果,A2404,68.0,204,0.0,204,1.0,48734017,48734017,否,否,三星,0.0,0.0
57,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,360,360,小米科技,MDE40,50.0,360,0.0,595,1.0,26872333,26872333,否,否,二星,0.0,0.0
58,10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,,0.0,703.3,是,21.29,1.0,158,158,步步高,V2118A,63.64,158,0.0,256,1.0,22244606,22244606,是,否,三星,0.0,0.0
59,10,10,10,10,1,-1,-1,-1,-1,-1,-1,-1,98,高速,-1,2,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,1993,1993,苹果,A2634,345.0,1993,0.0,1980,1.0,29983965,29983965,否,否,白金卡,0.0,0.0
60,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,2080.56,是,51.0,1.0,157,157,华为,SEA-AL10,183.0,157,0.0,445,1.0,51906706,51906706,否,否,三星,0.0,0.0
61,10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,55.64,是,21.0,1.0,68,68,欧珀,PADM00,48.9,68,0.0,240,1.0,22755889,22755889,否,否,银卡,0.0,0.0
62,10,5,8,8,1,-1,-1,-1,-1,-1,-1,-1,98,吉林靖宇,-1,-1,3,-1,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,123,123,华为,KOZ-AL00,86.1,123,0.0,313,1.0,21098550,21098550,否,否,三星,0.0,0.0
63,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,282,282,华为,NOH-AN00,83.0,282,0.0,187,1.0,48114253,48114253,是,否,三星,0.0,0.0
64,10,10,10,10,1,-1,-1,-1,-1,5,-1,7,-1,,1,2,3,4,5,6,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,815,815,苹果,iPhone 8 Plus A1864,120.0,815,0.0,642,1.0,17136267,17136267,否,否,银卡,0.0,0.0
65,10,9,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,4,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,1.0,402,402,华为,NOH-AN01,98.0,402,0.0,376,1.0,172705,172705,否,否,三星,0.0,0.0
66,8,9,9,8,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,245,245,苹果,A2220,38.0,245,0.0,313,1.0,7910066,7910066,否,否,三星,0.0,0.0
67,9,8,10,8,1,1,-1,-1,-1,-1,-1,7,-1,,1,-1,-1,-1,-1,6,-1,,8,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,78,78,小米科技,M2102J2SC,29.0,78,0.0,255,1.0,1658878,1658878,否,否,三星,0.0,0.0
68,10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,0,0,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,9.0,1.0,24,24,欧珀,PEGM00,20.0,24,0.0,45,1.0,4520690,4520690,是,否,二星,0.0,0.0
69,6,8,8,8,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,11.89,1.0,10,10,华为,BKK-AL00,21.89,10,0.0,70,1.0,74002,74002,否,否,三星,0.0,0.0
70,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,213,213,苹果,iPhone 8 A1863,21.0,213,0.0,210,1.0,22021066,22021066,否,是,一星,0.0,0.0
71,9,6,9,7,1,1,2,-1,-1,-1,-1,7,-1,,-1,-1,3,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,146,146,欧珀,OPPO A37m,39.0,146,0.0,133,1.0,9102582,9102582,否,否,三星,0.0,0.0
72,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,369,369,苹果,A2644,97.9,369,0.0,410,1.0,11650036,11650036,是,否,三星,0.0,0.0
73,10,10,10,10,1,1,-1,-1,-1,-1,6,-1,-1,,1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,27,27,步步高,V2054A,0.0,27,0.0,169,1.0,19452886,19452886,是,是,银卡,0.0,0.0
74,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,25,25,步步高,V2121A,26.0,25,0.0,29,1.0,14865,14865,否,是,三星,0.0,0.0
75,8,8,7,8,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,170,170,小米科技,M2011K2C,32.25,170,0.0,91,1.0,12927019,12927019,是,是,三星,0.0,0.0
76,9,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,314,314,华为,NZA-AL00,60.0,314,0.0,244,1.0,23587433,23587433,否,是,二星,0.0,0.0
77,8,3,8,8,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,47,47,小米科技,M2010J19SC,19.95,47,0.0,102,1.0,1789765,1789765,否,否,三星,0.0,0.0
78,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,126,126,欧珀,PDVM00,35.0,126,0.0,158,1.0,21302993,21302993,否,否,三星,0.0,0.0
79,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,1.0,149,149,欧珀,PADM00,60.0,149,0.0,274,1.0,3510610,3510610,否,否,三星,0.0,0.0
80,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,134,134,步步高,V2073A,54.42,134,0.0,419,1.0,46943240,46943240,是,否,二星,0.0,0.0
81,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,155,155,华为,LND-AL40,49.0,155,0.0,317,1.0,1156948,1156948,否,否,一星,0.0,0.0
82,1,1,1,1,1,1,2,3,4,5,6,7,98,没有信号好的地方,1,-1,-1,-1,-1,-1,98,没有信号好的地方,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,828,828,苹果,A2108,48.1,828,0.0,361,1.0,4984144,4984144,否,是,二星,0.0,0.0
83,1,1,1,1,1,1,2,3,4,5,6,7,98,信号不好，打电话话费也行贵啊！,1,2,3,4,-1,6,98,注意移动话费高，信号不好，无线网也不行啊！,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,95.8,1.0,512,512,苹果,iPhone 6 A1586,178.04,512,0.0,188,1.0,2392221,2392221,否,否,银卡,0.0,0.0
84,10,8,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,138.54,是,30.0,1.0,205,205,苹果,A2298,91.59,205,0.0,262,1.0,55043160,55043160,否,否,三星,0.0,0.0
85,1,1,2,1,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,2,3,4,5,6,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,408,408,欧珀,PCNM00,68.45,408,0.0,315,1.0,5723713,5723713,否,是,二星,0.0,0.0
