用户id,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,用户描述,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,用户描述.1,脱网次数,mos质差次数,未接通掉话次数,是否投诉,性别,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否不限量套餐到达用户
47,1,1,2,-1,-1,-1,6,7,-1,,-1,-1,3,4,-1,6,-1,,2,7,4,否,男,5G,否,0.0,是,0.0,0.0,835,0,华为,NOH-AN00,245.0,835,245.0,875,0.0,8121451,0,是,金卡,否
48,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,95,0,0,否,男,4G,否,0.0,是,0.0,0.0,1177,0,华为,SEA-AL00,21.0,1177,21.0,252,0.0,1532995,0,否,一星,否
49,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,否,女,4G,否,0.0,是,0.0,0.0,146,0,华为,TEL_AN10,10.0,146,10.0,116,0.0,108,0,否,三星,否
50,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,-1,-1,,2,8,0,否,男,4G,否,0.0,是,0.0,0.0,168,0,华为,STK-AL00,60.0,168,60.0,188,0.0,927622,0,否,三星,否
51,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,72,66,14,否,男,4G,否,0.0,是,0.0,0.0,780,0,苹果,A2223,305.0,780,240.2,397,0.0,102198669,0,否,金卡,否
52,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,56,4,0,否,男,5G,否,0.0,是,0.0,0.0,636,0,苹果,A2634,67.0,636,67.0,540,8.37891396595047e-05,19716159,1652,是,三星,是
53,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,9,19,1,否,女,4G,否,0.0,是,0.0,0.0,204,0,华为,ABR-AL60,60.1,204,60.0,187,0.0,17376115,0,否,三星,是
54,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,10,16,0,否,女,4G,否,0.0,是,0.0,0.0,486,0,欧珀,PDYM20,29.0,486,29.0,159,0.0,2680068,0,否,三星,否
55,1,-1,-1,-1,-1,5,-1,-1,98,电梯、地下室,1,-1,3,4,-1,-1,-1,,2,2,2,否,男,5G,否,0.0,是,0.0,0.0,384,0,华为,NOH-AN00,131.0,384,131.2,331,0.0,50690196,0,是,银卡,否
56,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,78,21,5,否,女,5G,否,0.0,是,0.0,0.0,298,0,苹果,A2408,119.0,298,119.0,376,0.0,21049041,0,是,三星,是
57,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,15,34,6,否,女,4G,否,0.0,是,0.0,0.0,1217,0,小米科技,MDE5,70.0,1217,79.0,295,0.0,33355689,0,否,二星,否
58,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,25,0,否,女,4G,否,35.1,是,10.0,0.0,546,0,苹果,iPhone X A1865,38.19,546,28.0,148,0.0,2624631,0,否,三星,否
59,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,6,-1,,7,4,0,否,男,5G,是,0.0,是,0.0,0.0,309,0,欧珀,PDEM30,128.0,309,115.0,167,0.0,1651182,0,是,三星,否
60,1,1,-1,-1,-1,5,-1,7,-1,,1,2,3,4,-1,6,-1,,11,18,2,否,男,5G,否,0.0,是,0.0,0.0,1125,0,苹果,A2639,148.0,1125,148.0,398,0.0,54558652,0,是,银卡,否
61,1,-1,2,-1,-1,5,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,123,29,4,否,男,4G,否,0.0,是,0.0,0.0,668,0,华为,ELE-AL00,71.97,668,69.0,298,0.0,12531524,0,否,三星,否
62,1,-1,-1,-1,-1,5,6,7,-1,,-1,-1,3,4,-1,-1,-1,,5,9,6,否,男,5G,否,0.0,是,0.0,0.0,173,0,苹果,A2404,21.0,173,21.0,120,0.0,5080148,0,是,二星,否
63,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,10,0,0,否,女,5G,否,0.0,是,0.0,0.0,225,0,华为,LIO-AN00,56.1,225,56.2,346,0.0,7092555,0,是,三星,是
64,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,1,0,1,否,男,5G,否,0.0,是,0.0,0.0,325,0,小米科技,M2101K9C,59.0,325,59.2,63,0.0,5673932,0,是,三星,否
65,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,9,14,2,否,男,5G,否,0.0,是,0.0,0.0,972,0,苹果,A2644,80.0,972,80.0,533,0.0,5479919,0,是,三星,是
66,1,1,-1,-1,-1,-1,-1,-1,-1,,1,2,-1,4,-1,6,98,信号满格打不出电话,37,0,0,否,男,4G,否,0.0,是,0.0,0.0,1414,0,华为,JAD-AL00,149.05,1414,0.0,0,0.0,10723737,0,否,未评级,否
67,1,-1,-1,-1,-1,5,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,,0,35,4,否,男,4G,否,0.0,是,0.0,0.0,773,0,华为,HMA-AL00,138.1,773,168.0,661,0.0,862109,0,否,银卡,否
68,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,27,1,否,男,4G,否,0.0,是,0.0,0.0,1854,0,华为,LYA-AL00,150.76,1854,145.0,1096,0.0,25586047,0,否,银卡,是
69,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,9,12,4,否,男,4G,否,0.0,是,0.0,0.0,391,0,苹果,A2223,58.0,391,58.0,207,0.0,1458251,0,否,三星,否
70,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,13,5,0,否,女,5G,否,0.0,是,0.0,0.0,127,0,华为,ANA-AN00,43.0,127,38.0,129,0.0,7036795,0,是,三星,否
71,1,1,-1,-1,-1,5,-1,7,-1,,1,-1,3,4,-1,-1,-1,,5,11,5,否,女,5G,否,0.0,是,0.0,0.0,1703,0,苹果,A2408,121.0,1703,121.0,1044,0.0,15636322,0,是,银卡,否
72,1,1,2,-1,-1,-1,-1,-1,-1,,-1,2,-1,4,-1,6,-1,,27,3,1,否,男,5G,否,0.0,是,0.0,0.0,173,0,小米科技,M2102J2SC,28.27,173,35.49,241,0.0,3707661,0,是,三星,否
73,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,5,8,2,否,男,4G,否,0.0,是,0.0,0.0,699,0,华为,PCT-AL10,128.0,699,128.0,530,0.0,42887775,0,否,银卡,否
74,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,0,1,否,男,5G,否,0.0,是,0.0,0.0,196,0,步步高,V2011A,25.33,196,24.0,84,0.0,904244,0,是,三星,否
75,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,7,2,0,否,男,5G,否,0.0,是,0.0,0.0,160,0,小米科技,M2103K19C,100.0,160,100.0,187,0.0,5995806,0,是,三星,否
76,1,1,2,-1,-1,5,6,-1,-1,,1,2,3,4,5,6,-1,,0,2,0,否,女,4G,否,0.0,是,0.0,0.0,219,0,苹果,iPhone 7Plus A1661,100.0,219,100.0,318,0.0,91424,0,否,三星,否
77,1,1,2,-1,-1,5,6,7,-1,,-1,2,3,-1,-1,6,-1,,11,0,0,否,男,5G,否,0.0,是,0.0,0.0,157,0,华为,LIO-AN00,100.0,157,100.0,298,0.0,16820888,0,是,白金卡,否
78,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,133,38,68,否,男,4G,否,0.0,是,0.0,0.0,562,0,步步高,V1901A,71.12,562,108.94,705,0.0,24584621,0,否,三星,否
79,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,5,0,否,女,5G,否,0.0,是,0.0,0.0,739,0,华为,NOH-AN00,334.8,739,238.0,154,0.0,20929492,0,是,白金卡,否
80,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,47,55,67,否,男,5G,是,0.0,是,0.0,0.0,717,0,步步高,V2002A,69.0,717,69.0,322,0.0,97853834,0,是,未评级,否
81,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,0,3,0,否,女,4G,否,0.0,是,0.0,0.0,200,0,苹果,A2223,49.0,200,79.0,140,0.0,6180467,0,否,三星,否
82,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,24,8,0,否,男,4G,否,0.0,是,0.0,0.155932203389831,295,46,苹果,iPhone 8 Plus A1864,85.0,295,80.0,305,0.350768373048514,728227,255439,否,三星,否
83,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,3,15,0,否,女,4G,否,0.0,是,0.0,0.0,398,0,华为,ELE-AL00,105.0,398,105.0,172,0.0,12910658,0,否,三星,是
84,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,21,46,3,否,男,5G,否,0.0,是,0.0,0.0,774,0,苹果,A2634,148.0,774,160.0,875,0.0,18164407,0,是,银卡,否
85,1,1,2,3,4,5,6,7,-1,,-1,2,3,4,-1,6,-1,,4,36,4,否,男,4G,否,0.0,是,0.0,0.0,1075,0,华为,WLZ-AN00,109.57,1075,130.0,892,0.0,515871,0,否,银卡,否
86,1,-1,2,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,0,14,3,否,女,4G,否,0.0,是,0.0,0.0,477,0,苹果,iPhone 8 Plus A1864,95.0,477,102.96,452,0.0,6124626,0,否,银卡,否
87,1,1,2,-1,4,5,-1,7,-1,,1,-1,3,4,-1,6,-1,,0,16,0,否,女,4G,否,0.0,是,0.0,0.0,231,0,苹果,A2100,77.1,231,59.0,131,0.0,29967864,0,否,三星,否
88,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,14,0,否,男,4G,否,0.0,是,0.0,0.0,433,0,苹果,iPhone 8 Plus A1864,104.0,433,69.1,85,0.0,55198834,0,否,三星,是
89,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,28,26,5,否,男,5G,否,0.0,是,0.0,0.0,1060,0,华为,CDY-AN00,298.0,1060,298.5,1307,0.0,58147067,0,是,白金卡,否
90,1,1,2,-1,-1,-1,-1,-1,-1,,-1,2,-1,4,-1,-1,-1,,0,9,0,否,男,4G,否,0.0,是,0.0,0.117924528301887,636,75,华为,BLA-AL00,133.0,636,130.0,480,0.0957259083712769,7639635,731311,否,银卡,否
91,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,7,18,3,否,男,4G,否,0.0,是,0.0,0.0,271,0,苹果,iPhone 6 Plus A1524,37.0,271,37.0,282,0.0,11895552,0,否,二星,否
92,1,1,2,-1,-1,5,-1,-1,-1,,1,2,3,4,-1,6,-1,,4,10,0,否,男,4G,否,0.0,是,0.0,0.0,237,0,苹果,iPhone 6 A1586,58.0,237,58.0,80,0.0,2842185,0,否,三星,否
93,1,-1,-1,-1,-1,5,6,7,-1,,-1,-1,-1,4,-1,-1,-1,,1,5,0,否,性别不详,4G,否,0.0,是,0.0,0.0,334,0,苹果,iPhone 8 Plus A1864,48.0,334,48.0,244,0.0,40631125,0,否,二星,否
94,1,-1,2,-1,-1,5,-1,-1,-1,,-1,-1,-1,4,-1,6,-1,,8,3,0,否,女,4G,否,0.0,是,0.0,0.0,162,0,华为,ANA-AN00,9.0,162,9.0,48,0.0,9269006,0,否,三星,否
95,1,-1,-1,-1,-1,5,-1,-1,98,电梯,1,-1,3,4,-1,6,-1,,100,11,1,否,女,4G,否,0.0,是,0.0,0.0,212,0,华为,ELE-AL00,18.0,212,18.0,90,0.0,11161921,0,否,三星,否
96,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,10,9,0,否,男,4G,是,0.0,是,0.0,0.0,183,0,华为,EDI-AL10,20.0,183,20.0,48,0.000623154125324194,1139365,710,否,三星,否
97,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,10,12,2,否,男,4G,否,0.0,是,0.0,0.0,712,0,华为,OCE-AN10,22.0,712,22.0,361,0.0,11604770,0,否,三星,否
98,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,19,1,否,男,5G,否,16.34,是,4.93,0.0843373493975904,166,14,华为,ANY-AN00,28.93,166,29.0,102,0.0644914727244335,22611501,1458249,是,三星,否
99,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,90,41,0,否,男,4G,否,43.18,是,10.0,0.0,617,0,步步高,V1809A,122.5,617,110.0,651,0.0,68126217,0,否,三星,否
100,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,否,男,4G,否,0.0,是,0.0,0.0,145,0,华为,JSN-AL00,8.0,145,8.0,33,0.0,11589,0,否,二星,否
101,1,1,-1,-1,4,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,0,6,3,否,男,4G,否,0.0,是,0.0,0.0,338,0,华为,EML-AL00,46.6,338,47.8,328,0.0,1332456,0,否,三星,否
102,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,0,0,否,男,5G,否,0.0,是,0.0,0.0,180,0,华为,DVC-AN20,11.15,180,10.0,43,0.0,2829405,0,是,三星,否
103,1,-1,2,-1,-1,5,-1,-1,-1,,1,-1,3,-1,-1,-1,-1,,36,14,9,否,男,5G,否,0.0,是,0.0,0.0,1051,0,苹果,A2404,72.65,1051,79.74,530,0.0,10903432,0,是,二星,否
104,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,60,16,2,否,女,4G,否,0.0,是,0.0,0.0,274,0,中邮通信,FIO-BD00,40.0,274,40.0,530,0.0,24466114,0,否,三星,否
105,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,178,0,华为,ANG-AN00,158.0,178,158.5,132,0.0,3582344,0,是,银卡,否
106,1,1,-1,-1,-1,-1,6,-1,-1,,1,-1,-1,4,-1,6,-1,,8,2,1,否,男,4G,否,0.0,是,0.0,0.0,263,0,苹果,A2223,58.0,263,58.0,216,0.0,8598038,0,否,二星,否
107,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,4,14,2,否,性别不详,4G,是,0.0,是,0.0,0.0,248,0,苹果,A2108,71.67,248,65.0,98,0.0,7106826,0,否,三星,否
